Site,Type,Count,SiteBeg,SiteEnd,TypeBeg,TypeEnd
Jose Solas Ruin,Sacaton Red-on-buff,1,1200,1400,950,1150
Jose Solas Ruin,San Carlos Red-on-brown,1,1200,1400,1250,1450
Jose Solas Ruin,"San Simon Red-on-brown, Undifferentiated",1,1200,1400,650,1200
Jose Solas Ruin,Sweetwater/Snaketown Red-on-gray,1,1200,1400,300,800
Jose Solas Ruin,Tanque Verde Red-on-brown,3,1200,1400,1150,1350
Jose Solas Ruin,"Tucson Basin Brown Ware, Undifferentiated",5,1200,1400,700,1350
Jose Solas Ruin,"Type, Undifferentiated",7,1200,1400,200,1900
Piper Springs,Aravaipa Red,7,1300,1400,1200,1400
Piper Springs,Cliff Polychrome,5,1300,1400,1350,1450
Piper Springs,Gila Butte/Santa Cruz/Sacaton Red-on-buff,1,1300,1400,750,1150
Piper Springs,Gila Polychrome,7,1300,1400,1325,1450
Piper Springs,"Maverick Mountain type, Undifferentiated",1,1300,1400,1275,1450
Piper Springs,Pinto/Gila Polychrome,10,1300,1400,1300,1450
Piper Springs,Pinto-Gila Polychrome A,1,1300,1400,1300,1350
Piper Springs,"Plain Brown Ware, Undifferentiated",277,1300,1400,200,1450
Piper Springs,"Red Ware type, Undifferentiated",5,1300,1400,700,1700
Piper Springs,"Roosevelt Polychrome, Undifferentiated",54,1300,1400,1280,1450
Piper Springs,San Carlos Red-on-brown,2,1300,1400,1250,1450
Piper Springs,Tonto Polychrome,1,1300,1400,1350,1450
Wright,Aravaipa Red,76,1300,1400,1200,1400
Wright,"Brown Corrugated Ware, Undifferentiated",27,1300,1400,800,1400
Wright,"Cibola Black-on-white, Undifferentiated",1,1300,1400,550,1325
Wright,"Cibola White Ware, Undifferentiated",5,1300,1400,550,1325
Wright,Cliff Polychrome,9,1300,1400,1350,1450
Wright,Gila Butte/Santa Cruz/Sacaton Red-on-buff,1,1300,1400,750,1150
Wright,Gila Polychrome,15,1300,1400,1325,1450
Wright,Maverick Mountain Black-on-red,1,1300,1400,1275,1325
Wright,Pinto/Gila Polychrome,38,1300,1400,1300,1450
Wright,Pinto-Gila Polychrome A,2,1300,1400,1300,1350
Wright,"Plain Brown Ware, Undifferentiated",1154,1300,1400,200,1450
Wright,"Red Ware type, Undifferentiated",32,1300,1400,700,1700
Wright,"Red-on-brown, Undifferentiated",2,1300,1400,700,1450
Wright,"Roosevelt Polychrome, Undifferentiated",342,1300,1400,1280,1450
Wright,San Carlos Red,76,1300,1400,1200,1400
Wright,San Carlos Red-on-brown,39,1300,1400,1250,1450
Wright,Tanque Verde Red-on-brown,4,1300,1400,1150,1350
Wright,Tonto Polychrome,4,1300,1400,1350,1450
Wright,"Tucson Basin Brown Ware, Undifferentiated",2,1300,1400,700,1350
Wright,"White Mountain type, Undifferentiated; Early",1,1300,1400,1000,1300
